M,logR,Sd,PGV,logPGV,PGA,logPGA,Ia,CAV,MMI
5.8,0.763427994,1,1.405687787,0.147888871,2.397644588,3.80E-01,1.700790221,2.709795546,7
5.8,0.763427994,1,1.75709222,0.244794556,2.711461342,4.33E-01,2.133059643,2.803928029,7
4.8,0.681241237,1,0.440909082,-3.56E-01,1.593950295,2.02E-01,0.376576957,2.05986622,5
4.8,0.681241237,1,0.713490543,-1.47E-01,1.864273697,2.71E-01,0.478566496,2.077295214,5
4.5,0.653212514,1,-0.283996656,-5.47E-01,1.383815366,1.41E-01,-1.22184875,0.85308953,4
4.5,0.653212514,1,-0.537602002,-2.70E-01,1.398113692,1.46E-01,-1.096910013,0.92992956,4
5,0.698970004,1,0,-1.57E+01,1.021602716,9.28E-03,-0.886056648,1.440594262,5
5,0.698970004,1,0.064457989,-1.19E+00,1.230704314,9.02E-02,-0.619788758,1.583878598,5
4,0.602059991,1,-0.259637311,-5.86E-01,1.009450896,4.09E-03,-1.22184875,1.174641193,5
4,0.602059991,1,-0.031517051,-1.50E+00,1.390758529,1.43E-01,-0.744727495,1.300160537,5
6.2,0.792391689,1,1.070037867,2.94E-02,2.135100834,3.29E-01,1.239799818,2.457806229,7
6.2,0.792391689,1,1.189490314,7.54E-02,2.155336037,3.34E-01,1.316180099,2.50081259,7
6.2,0.792391689,1,-0.008773924,-2.06E+00,1.57921178,1.98E-01,-0.161150909,1.916295995,5
6.2,0.792391689,1,-0.055517328,-1.26E+00,1.595275712,2.03E-01,-0.26760624,1.826981337,5
5.12,0.709269961,1,0.733999287,-1.34E-01,1.98811284,2.98E-01,0.664641976,1.960708552,6
5.12,0.709269961,1,0.88592634,-5.26E-02,2.051075308,3.12E-01,0.776701184,1.979275148,6
6.6,0.819543936,1,1.350829274,1.31E-01,2.353454584,3.72E-01,1.805976351,2.849818511,7
6.6,0.819543936,1,1.357172258,1.33E-01,2.48234468,3.95E-01,1.913548958,2.907744479,7
6.6,0.819543936,1,1.342817315,1.28E-01,2.22284648,3.47E-01,1.569958818,2.743885886,7
6.6,0.819543936,1,1.353723938,1.32E-01,2.453042996,3.90E-01,1.948510769,2.943825799,7
6.3,0.799340549,1,1.039017322,1.66E-02,2.058312121,3.14E-01,1.261500773,2.58067413,6
6.3,0.799340549,1,1.180985581,7.22E-02,2.070407322,3.16E-01,1.350829274,2.606725225,6
5.4,0.73239376,0,1.046885191,1.99E-02,2.122838194,3.27E-01,1.292699003,2.495183432,7
5.4,0.73239376,0,0.962842681,-1.64E-02,2.146717036,3.32E-01,1.409764104,2.561971487,7
5.4,0.73239376,1,0.494154594,-3.06E-01,1.705436047,2.32E-01,0.683947131,2.253434935,7
5.4,0.73239376,1,0.769377326,-1.14E-01,1.987263954,2.98E-01,0.86569606,2.317499221,7
4.5,0.653212514,1,-0.008773924,-2.06E+00,1.334252642,1.25E-01,-0.552841969,1.483587297,6
4.5,0.653212514,1,0.204119983,-6.90E-01,1.561697533,1.94E-01,-0.397940009,1.454082271,6
6.9,0.838849091,1,0.8162413,-8.82E-02,1.790988475,2.53E-01,1.024485668,2.511522413,6
6.9,0.838849091,1,0.77524626,-1.11E-01,1.806790272,2.57E-01,0.895422546,2.474536766,6
6.9,0.838849091,0,0.597695186,-2.24E-01,1.494571984,1.75E-01,0.193124598,1.961658349,5
6.9,0.838849091,0,0.638489257,-1.95E-01,1.705778213,2.32E-01,0.532754379,2.098020386,5
4.77,0.678518379,1,0.096910013,-1.01E+00,1.194791758,7.73E-02,-0.337242168,1.725993259,4
4.77,0.678518379,1,0.041392685,-1.38E+00,1.409256652,1.49E-01,-0.173925197,1.770999205,4
